"","Name","Party","Rank","VoteCount","VoteShare","Title"
"957","Wallace Bradley","Other Parties","2 of 5","2,198","31.0%","Election Results for 1995 Primary Election, Alderman, Ward 3, Chicago, IL (Non-Partisan Aldermanic Election)"
"958","Tyrone T. Kenner","Democratic Party","3 of 5","1,320","18.6%","Election Results for 1995 Primary Election, Alderman, Ward 3, Chicago, IL (Non-Partisan Aldermanic Election)"
"959","Clarence C. Barry","Democratic Party","4 of 5","192","2.7%","Election Results for 1995 Primary Election, Alderman, Ward 3, Chicago, IL (Non-Partisan Aldermanic Election)"
"960","No Candidate","Other Parties","5 of 5","0","0.0%","Election Results for 1995 Primary Election, Alderman, Ward 3, Chicago, IL (Non-Partisan Aldermanic Election)"
"961","Michael A. Wojcik","Democratic Party","1 of 5","4,829","48.7%","Election Results for 1995 Primary Election, Alderman, Ward 30, Chicago, IL (Non-Partisan Aldermanic Election)"
"962","Carole Bialczak","Other Parties","2 of 5","4,471","45.1%","Election Results for 1995 Primary Election, Alderman, Ward 30, Chicago, IL (Non-Partisan Aldermanic Election)"
"963","Michael Rago","Other Parties","3 of 5","346","3.5%","Election Results for 1995 Primary Election, Alderman, Ward 30, Chicago, IL (Non-Partisan Aldermanic Election)"
"964","Chester R. Hornowski","Republican Party","4 of 5","145","1.5%","Election Results for 1995 Primary Election, Alderman, Ward 30, Chicago, IL (Non-Partisan Aldermanic Election)"
"965","H. M. Wojcik","Other Parties","5 of 5","125","1.3%","Election Results for 1995 Primary Election, Alderman, Ward 30, Chicago, IL (Non-Partisan Aldermanic Election)"
"966","Regner Suarez","Other Parties","1 of 2","5,318","100.0%","Election Results for 1995 Primary Election, Alderman, Ward 31, Chicago, IL (Non-Partisan Aldermanic Election)"
"967","No Candidate","Other Parties","2 of 2","0","0.0%","Election Results for 1995 Primary Election, Alderman, Ward 31, Chicago, IL (Non-Partisan Aldermanic Election)"
"968","Theris M. Gabinski","Democratic Party","1 of 2","6,558","100.0%","Election Results for 1995 Primary Election, Alderman, Ward 32, Chicago, IL (Non-Partisan Aldermanic Election)"
"969","No Candidate","Other Parties","2 of 2","0","0.0%","Election Results for 1995 Primary Election, Alderman, Ward 32, Chicago, IL (Non-Partisan Aldermanic Election)"
"970","Richard F. Mell","Democratic Party","1 of 1","6,125","100.0%","Election Results for 1995 Primary Election, Alderman, Ward 33, Chicago, IL (Non-Partisan Aldermanic Election)"
"971","Carrie M. Austin","Other Parties","1 of 10","5,077","52.1%","Election Results for 1995 Primary Election, Alderman, Ward 34, Chicago, IL (Non-Partisan Aldermanic Election)"
"972","Ernie Terrell","Other Parties","2 of 10","2,537","26.0%","Election Results for 1995 Primary Election, Alderman, Ward 34, Chicago, IL (Non-Partisan Aldermanic Election)"
"973","Frank N. Thomas","Other Parties","3 of 10","1,036","10.6%","Election Results for 1995 Primary Election, Alderman, Ward 34, Chicago, IL (Non-Partisan Aldermanic Election)"
"974","Milton H. Jenkins","Other Parties","4 of 10","479","4.9%","Election Results for 1995 Primary Election, Alderman, Ward 34, Chicago, IL (Non-Partisan Aldermanic Election)"
"975","Tony Davenport","Other Parties","5 of 10","279","2.9%","Election Results for 1995 Primary Election, Alderman, Ward 34, Chicago, IL (Non-Partisan Aldermanic Election)"
"976","James Trotter","Other Parties","6 of 10","121","1.2%","Election Results for 1995 Primary Election, Alderman, Ward 34, Chicago, IL (Non-Partisan Aldermanic Election)"
"977","Marlene Copeland","Democratic Party","7 of 10","102","1.0%","Election Results for 1995 Primary Election, Alderman, Ward 34, Chicago, IL (Non-Partisan Aldermanic Election)"
"978","John E. Williams","Other Parties","8 of 10","86","0.9%","Election Results for 1995 Primary Election, Alderman, Ward 34, Chicago, IL (Non-Partisan Aldermanic Election)"
"979","Roberta Sullivan","Other Parties","9 of 10","36","0.4%","Election Results for 1995 Primary Election, Alderman, Ward 34, Chicago, IL (Non-Partisan Aldermanic Election)"
"980","No Candidate","Other Parties","10 of 10","0","0.0%","Election Results for 1995 Primary Election, Alderman, Ward 34, Chicago, IL (Non-Partisan Aldermanic Election)"
"981","Vilma Colom","Democratic Party","1 of 10","2,987","39.2%","Election Results for 1995 Primary Election, Alderman, Ward 35, Chicago, IL (Non-Partisan Aldermanic Election)"
"982","Louis Lara","Other Parties","2 of 10","1,168","15.3%","Election Results for 1995 Primary Election, Alderman, Ward 35, Chicago, IL (Non-Partisan Aldermanic Election)"
"983","Iris Y. Martinez","Other Parties","3 of 10","756","9.9%","Election Results for 1995 Primary Election, Alderman, Ward 35, Chicago, IL (Non-Partisan Aldermanic Election)"
"984","George L. Garcia","Other Parties","4 of 10","714","9.4%","Election Results for 1995 Primary Election, Alderman, Ward 35, Chicago, IL (Non-Partisan Aldermanic Election)"
"985","Marja Stoll","Other Parties","5 of 10","647","8.5%","Election Results for 1995 Primary Election, Alderman, Ward 35, Chicago, IL (Non-Partisan Aldermanic Election)"
"986","Ricardo Negron","Other Parties","6 of 10","576","7.6%","Election Results for 1995 Primary Election, Alderman, Ward 35, Chicago, IL (Non-Partisan Aldermanic Election)"
"987","Oscar R. Ortiz","Other Parties","7 of 10","435","5.7%","Election Results for 1995 Primary Election, Alderman, Ward 35, Chicago, IL (Non-Partisan Aldermanic Election)"
"988","Marcelino Gerena, Jr.","Other Parties","8 of 10","149","2.0%","Election Results for 1995 Primary Election, Alderman, Ward 35, Chicago, IL (Non-Partisan Aldermanic Election)"
"989","Fred K. White","Other Parties","9 of 10","129","1.7%","Election Results for 1995 Primary Election, Alderman, Ward 35, Chicago, IL (Non-Partisan Aldermanic Election)"
"990","Antonio Beltran","Other Parties","10 of 10","58","0.8%","Election Results for 1995 Primary Election, Alderman, Ward 35, Chicago, IL (Non-Partisan Aldermanic Election)"
"991","William J. P. Banks","Other Parties","1 of 1","12,012","100.0%","Election Results for 1995 Primary Election, Alderman, Ward 36, Chicago, IL (Non-Partisan Aldermanic Election)"
"992","Percy Z. Giles","Democratic Party","1 of 4","4,527","51.8%","Election Results for 1995 Primary Election, Alderman, Ward 37, Chicago, IL (Non-Partisan Aldermanic Election)"
"993","John Baggett","Other Parties","2 of 4","3,550","40.6%","Election Results for 1995 Primary Election, Alderman, Ward 37, Chicago, IL (Non-Partisan Aldermanic Election)"
"994","Johnny Johnson","Other Parties","3 of 4","667","7.6%","Election Results for 1995 Primary Election, Alderman, Ward 37, Chicago, IL (Non-Partisan Aldermanic Election)"
"995","No Candidate","Other Parties","4 of 4","0","0.0%","Election Results for 1995 Primary Election, Alderman, Ward 37, Chicago, IL (Non-Partisan Aldermanic Election)"
"996","Thomas R. Allen","Other Parties","1 of 5","9,727","65.4%","Election Results for 1995 Primary Election, Alderman, Ward 38, Chicago, IL (Non-Partisan Aldermanic Election)"
"997","Michael J. Mackey","Other Parties","2 of 5","3,513","23.6%","Election Results for 1995 Primary Election, Alderman, Ward 38, Chicago, IL (Non-Partisan Aldermanic Election)"
"998","John B. Downes","Other Parties","3 of 5","1,088","7.3%","Election Results for 1995 Primary Election, Alderman, Ward 38, Chicago, IL (Non-Partisan Aldermanic Election)"
"999","Stephen A. Villarreal","Other Parties","4 of 5","549","3.7%","Election Results for 1995 Primary Election, Alderman, Ward 38, Chicago, IL (Non-Partisan Aldermanic Election)"
"1000","No Candidate","Other Parties","5 of 5","0","0.0%","Election Results for 1995 Primary Election, Alderman, Ward 38, Chicago, IL (Non-Partisan Aldermanic Election)"
"1001","Margaret Laurino","Other Parties","1 of 7","4,592","44.5%","Election Results for 1995 Primary Election, Alderman, Ward 39, Chicago, IL (Non-Partisan Aldermanic Election)"
"1002","Anthony J. Fornelli","Other Parties","2 of 7","2,384","23.1%","Election Results for 1995 Primary Election, Alderman, Ward 39, Chicago, IL (Non-Partisan Aldermanic Election)"
"1003","Demetri Konstantelos","Other Parties","3 of 7","2,213","21.5%","Election Results for 1995 Primary Election, Alderman, Ward 39, Chicago, IL (Non-Partisan Aldermanic Election)"
"1004","William C. Baxter","Other Parties","4 of 7","453","4.4%","Election Results for 1995 Primary Election, Alderman, Ward 39, Chicago, IL (Non-Partisan Aldermanic Election)"
"1005","Frank Annunzio Lato","Other Parties","5 of 7","353","3.4%","Election Results for 1995 Primary Election, Alderman, Ward 39, Chicago, IL (Non-Partisan Aldermanic Election)"
"1006","Mark R. Axen","Other Parties","6 of 7","316","3.1%","Election Results for 1995 Primary Election, Alderman, Ward 39, Chicago, IL (Non-Partisan Aldermanic Election)"
"1007","No Candidate","Other Parties","7 of 7","0","0.0%","Election Results for 1995 Primary Election, Alderman, Ward 39, Chicago, IL (Non-Partisan Aldermanic Election)"
"1008","Toni Preckwinkle","Democratic Party","1 of 4","6,027","56.6%","Election Results for 1995 Primary Election, Alderman, Ward 4, Chicago, IL (Non-Partisan Aldermanic Election)"
"1009","Kwame Raoul","Democratic Party","2 of 4","2,259","21.2%","Election Results for 1995 Primary Election, Alderman, Ward 4, Chicago, IL (Non-Partisan Aldermanic Election)"
"1010","Maurice Perkins","Other Parties","3 of 4","1,795","16.9%","Election Results for 1995 Primary Election, Alderman, Ward 4, Chicago, IL (Non-Partisan Aldermanic Election)"
"1011","Brian Marshall","Other Parties","4 of 4","563","5.3%","Election Results for 1995 Primary Election, Alderman, Ward 4, Chicago, IL (Non-Partisan Aldermanic Election)"
"1012","Patrick J. O'connor","Democratic Party","1 of 2","6,930","100.0%","Election Results for 1995 Primary Election, Alderman, Ward 40, Chicago, IL (Non-Partisan Aldermanic Election)"
"1013","No Candidate","Other Parties","2 of 2","0","0.0%","Election Results for 1995 Primary Election, Alderman, Ward 40, Chicago, IL (Non-Partisan Aldermanic Election)"
"1014","Brian G. Doherty","Other Parties","1 of 4","12,638","76.0%","Election Results for 1995 Primary Election, Alderman, Ward 41, Chicago, IL (Non-Partisan Aldermanic Election)"
"1015","Jerry Paszek","Other Parties","2 of 4","3,262","19.6%","Election Results for 1995 Primary Election, Alderman, Ward 41, Chicago, IL (Non-Partisan Aldermanic Election)"
"1016","Don L. Goodman","Other Parties","3 of 4","719","4.3%","Election Results for 1995 Primary Election, Alderman, Ward 41, Chicago, IL (Non-Partisan Aldermanic Election)"
"1017","No Candidate","Other Parties","4 of 4","0","0.0%","Election Results for 1995 Primary Election, Alderman, Ward 41, Chicago, IL (Non-Partisan Aldermanic Election)"
"1018","Burton F. Natarus","Democratic Party","1 of 3","6,051","51.5%","Election Results for 1995 Primary Election, Alderman, Ward 42, Chicago, IL (Non-Partisan Aldermanic Election)"
"1019","Dennis O'neill","Other Parties","2 of 3","3,241","27.6%","Election Results for 1995 Primary Election, Alderman, Ward 42, Chicago, IL (Non-Partisan Aldermanic Election)"
"1020","Kevin Patrick Flood","Other Parties","3 of 3","2,456","20.9%","Election Results for 1995 Primary Election, Alderman, Ward 42, Chicago, IL (Non-Partisan Aldermanic Election)"
"1021","Charles R. Bernardini","Other Parties","1 of 2","5,995","69.0%","Election Results for 1995 Primary Election, Alderman, Ward 43, Chicago, IL (Non-Partisan Aldermanic Election)"
"1022","James Case","Other Parties","2 of 2","2,696","31.0%","Election Results for 1995 Primary Election, Alderman, Ward 43, Chicago, IL (Non-Partisan Aldermanic Election)"
"1023","Bernard J. Hansen","Democratic Party","1 of 1","6,565","100.0%","Election Results for 1995 Primary Election, Alderman, Ward 44, Chicago, IL (Non-Partisan Aldermanic Election)"
"1024","Patrick J. Levar","Democratic Party","1 of 5","10,842","68.6%","Election Results for 1995 Primary Election, Alderman, Ward 45, Chicago, IL (Non-Partisan Aldermanic Election)"
"1025","Henry J. Wlodyga","Other Parties","2 of 5","3,530","22.4%","Election Results for 1995 Primary Election, Alderman, Ward 45, Chicago, IL (Non-Partisan Aldermanic Election)"
"1026","Frank J. Murray","Other Parties","3 of 5","1,092","6.9%","Election Results for 1995 Primary Election, Alderman, Ward 45, Chicago, IL (Non-Partisan Aldermanic Election)"
"1027","John E. Euler","Other Parties","4 of 5","330","2.1%","Election Results for 1995 Primary Election, Alderman, Ward 45, Chicago, IL (Non-Partisan Aldermanic Election)"
"1028","No Candidate","Other Parties","5 of 5","0","0.0%","Election Results for 1995 Primary Election, Alderman, Ward 45, Chicago, IL (Non-Partisan Aldermanic Election)"
"1029","Helen Shiller","Democratic Party","1 of 3","6,145","57.2%","Election Results for 1995 Primary Election, Alderman, Ward 46, Chicago, IL (Non-Partisan Aldermanic Election)"
"1030","Bob Kuzas","Other Parties","2 of 3","4,590","42.8%","Election Results for 1995 Primary Election, Alderman, Ward 46, Chicago, IL (Non-Partisan Aldermanic Election)"
"1031","No Candidate","Other Parties","3 of 3","0","0.0%","Election Results for 1995 Primary Election, Alderman, Ward 46, Chicago, IL (Non-Partisan Aldermanic Election)"
"1032","Eugene C. Schulter","Democratic Party","1 of 2","7,847","82.0%","Election Results for 1995 Primary Election, Alderman, Ward 47, Chicago, IL (Non-Partisan Aldermanic Election)"
"1033","Michael C. Buster","Other Parties","2 of 2","1,720","18.0%","Election Results for 1995 Primary Election, Alderman, Ward 47, Chicago, IL (Non-Partisan Aldermanic Election)"
"1034","Mary Ann Smith","Other Parties","1 of 1","6,263","100.0%","Election Results for 1995 Primary Election, Alderman, Ward 48, Chicago, IL (Non-Partisan Aldermanic Election)"
"1035","Joe Moore","Other Parties","1 of 3","4,368","69.3%","Election Results for 1995 Primary Election, Alderman, Ward 49, Chicago, IL (Non-Partisan Aldermanic Election)"
"1036","Karen N. Hoover","Other Parties","2 of 3","1,229","19.5%","Election Results for 1995 Primary Election, Alderman, Ward 49, Chicago, IL (Non-Partisan Aldermanic Election)"
"1037","Francis Ignatius Corrigan","Other Parties","3 of 3","704","11.2%","Election Results for 1995 Primary Election, Alderman, Ward 49, Chicago, IL (Non-Partisan Aldermanic Election)"
"1038","Barbara Holt","Other Parties","1 of 4","4,583","43.1%","Election Results for 1995 Primary Election, Alderman, Ward 5, Chicago, IL (Non-Partisan Aldermanic Election)"
"1039","Janet G. Oliver-hill","Other Parties","2 of 4","4,418","41.5%","Election Results for 1995 Primary Election, Alderman, Ward 5, Chicago, IL (Non-Partisan Aldermanic Election)"
"1040","Julian S. Bertrand","Other Parties","3 of 4","1,637","15.4%","Election Results for 1995 Primary Election, Alderman, Ward 5, Chicago, IL (Non-Partisan Aldermanic Election)"
"1041","No Candidate","Other Parties","4 of 4","0","0.0%","Election Results for 1995 Primary Election, Alderman, Ward 5, Chicago, IL (Non-Partisan Aldermanic Election)"
"1042","Bernard L. Stone","Democratic Party","1 of 3","5,883","56.9%","Election Results for 1995 Primary Election, Alderman, Ward 50, Chicago, IL (Non-Partisan Aldermanic Election)"
"1043","Michael Charles Moses","Democratic Party","2 of 3","4,003","38.7%","Election Results for 1995 Primary Election, Alderman, Ward 50, Chicago, IL (Non-Partisan Aldermanic Election)"
"1044","Tyrone Walls","Other Parties","3 of 3","455","4.4%","Election Results for 1995 Primary Election, Alderman, Ward 50, Chicago, IL (Non-Partisan Aldermanic Election)"
"1045","John O. Steele","Other Parties","1 of 2","11,627","83.3%","Election Results for 1995 Primary Election, Alderman, Ward 6, Chicago (Non-Partisan Aldermanic Election)"
"1046","Julia M. Walls","Other Parties","2 of 2","2,338","16.7%","Election Results for 1995 Primary Election, Alderman, Ward 6, Chicago (Non-Partisan Aldermanic Election)"
"1047","William M. Beavers","Democratic Party","1 of 5","5,317","56.3%","Election Results for 1995 Primary Election, Alderman, Ward 7, Chicago, IL (Non-Partisan Aldermanic Election)"
"1048","Victoria L. Johnson","Other Parties","2 of 5","1,766","18.7%","Election Results for 1995 Primary Election, Alderman, Ward 7, Chicago, IL (Non-Partisan Aldermanic Election)"
"1049","Johnny Acoff","Other Parties","3 of 5","1,225","13.0%","Election Results for 1995 Primary Election, Alderman, Ward 7, Chicago, IL (Non-Partisan Aldermanic Election)"
"1050","Verlia Thomas","Other Parties","4 of 5","1,130","12.0%","Election Results for 1995 Primary Election, Alderman, Ward 7, Chicago, IL (Non-Partisan Aldermanic Election)"
"1051","No Candidate","Other Parties","5 of 5","0","0.0%","Election Results for 1995 Primary Election, Alderman, Ward 7, Chicago, IL (Non-Partisan Aldermanic Election)"
"1052","Lorraine L. Dixon","Other Parties","1 of 3","9,858","65.2%","Election Results for 1995 Primary Election, Alderman, Ward 8, Chicago, IL (Non-Partisan Aldermanic Election)"
"1053","John Davis","Other Parties","2 of 3","4,571","30.2%","Election Results for 1995 Primary Election, Alderman, Ward 8, Chicago, IL (Non-Partisan Aldermanic Election)"
"1054","James L. Daniels","Other Parties","3 of 3","689","4.6%","Election Results for 1995 Primary Election, Alderman, Ward 8, Chicago, IL (Non-Partisan Aldermanic Election)"
"1055","Robert Shaw","Democratic Party","1 of 4","5,634","61.4%","Election Results for 1995 Primary Election, Alderman, Ward 9, Chicago, IL (Non-Partisan Aldermanic Election)"
"1056","Cora L. Mcgruder","Democratic Party","2 of 4","2,686","29.3%","Election Results for 1995 Primary Election, Alderman, Ward 9, Chicago, IL (Non-Partisan Aldermanic Election)"
"1057","Johnny J. O'neal","Democratic Party","3 of 4","861","9.4%","Election Results for 1995 Primary Election, Alderman, Ward 9, Chicago, IL (Non-Partisan Aldermanic Election)"
"1058","No Candidate","Other Parties","4 of 4","0","0.0%","Election Results for 1995 Primary Election, Alderman, Ward 9, Chicago, IL (Non-Partisan Aldermanic Election)"
"1059","Jesse D. Granato","Other Parties","1 of 5","3,389","43.8%","Election Results for 1999 General Election, Alderman, Ward 1, Chicago, IL"
"1060","Cynthia Soto","Other Parties","2 of 5","2,816","36.4%","Election Results for 1999 General Election, Alderman, Ward 1, Chicago, IL"
"1061","Samuel Maldonado","Other Parties","3 of 5","697","9.0%","Election Results for 1999 General Election, Alderman, Ward 1, Chicago, IL"
"1062","Ruben Juarez","Other Parties","4 of 5","586","7.6%","Election Results for 1999 General Election, Alderman, Ward 1, Chicago, IL"
"1063","Tony Olivieri","Other Parties","5 of 5","244","3.2%","Election Results for 1999 General Election, Alderman, Ward 1, Chicago, IL"
"1064","John A. Pope","Other Parties","1 of 8","5,191","37.8%","Election Results for 1999 General Election, Alderman, Ward 10, Chicago, IL"
"1065","Robert Wisz","Other Parties","2 of 8","4,345","31.6%","Election Results for 1999 General Election, Alderman, Ward 10, Chicago, IL"
"1066","Richard L. Martinez, Jr.","Other Parties","3 of 8","1,491","10.9%","Election Results for 1999 General Election, Alderman, Ward 10, Chicago, IL"
"1067","Nick Valadez","Other Parties","4 of 8","1,465","10.7%","Election Results for 1999 General Election, Alderman, Ward 10, Chicago, IL"
"1068","Neil A. Bosanko","Other Parties","5 of 8","595","4.3%","Election Results for 1999 General Election, Alderman, Ward 10, Chicago, IL"
"1069","Yolanda Deanda","Other Parties","6 of 8","456","3.3%","Election Results for 1999 General Election, Alderman, Ward 10, Chicago, IL"
"1070","Charles Popielarz","Other Parties","7 of 8","109","0.8%","Election Results for 1999 General Election, Alderman, Ward 10, Chicago, IL"
"1071","Andrew Gomez Meyer","Other Parties","8 of 8","87","0.6%","Election Results for 1999 General Election, Alderman, Ward 10, Chicago, IL"
"1072","James A. Balcer","Other Parties","1 of 2","12,928","88.9%","Election Results for 1999 General Election, Alderman, Ward 11, Chicago, IL"
"1073","Joesph Cohen","Other Parties","2 of 2","1,617","11.1%","Election Results for 1999 General Election, Alderman, Ward 11, Chicago, IL"
"1074","Rafael Frias","Democratic Party","1 of 4","3,029","62.9%","Election Results for 1999 General Election, Alderman, Ward 12, Chicago, IL"
"1075","Asuncion Torres","Other Parties","2 of 4","982","20.4%","Election Results for 1999 General Election, Alderman, Ward 12, Chicago, IL"
"1076","Dion Miller Perez","Other Parties","3 of 4","415","8.6%","Election Results for 1999 General Election, Alderman, Ward 12, Chicago, IL"
"1077","Alan R. Mercado","Democratic Party","4 of 4","393","8.2%","Election Results for 1999 General Election, Alderman, Ward 12, Chicago, IL"
"1078","Frank J. Olivo","Other Parties","1 of 1","19,055","100.0%","Election Results for 1999 General Election, Alderman, Ward 13, Chicago, IL"
"1079","Edward M. Burke","Democratic Party","1 of 1","9,315","100.0%","Election Results for 1999 General Election, Alderman, Ward 14, Chicago, IL"
"1080","Theodore Thomas","Other Parties","1 of 12","1,978","21.6%","Election Results for 1999 General Election, Alderman, Ward 15, Chicago, IL"
"1081","Carlos James Hemphill, Sr","Other Parties","2 of 12","1,357","14.8%","Election Results for 1999 General Election, Alderman, Ward 15, Chicago, IL"
"1082","Dorothy Cooks","Democratic Party","3 of 12","992","10.8%","Election Results for 1999 General Election, Alderman, Ward 15, Chicago, IL"
"1083","Milton H. Jenkins","Other Parties","4 of 12","866","9.4%","Election Results for 1999 General Election, Alderman, Ward 15, Chicago, IL"
"1084","Joseph H. Shaw","Other Parties","5 of 12","803","8.8%","Election Results for 1999 General Election, Alderman, Ward 15, Chicago, IL"
"1085","John Burys","Other Parties","6 of 12","680","7.4%","Election Results for 1999 General Election, Alderman, Ward 15, Chicago, IL"
"1086","Tommie Grayer, Sr.","Democratic Party","7 of 12","639","7.0%","Election Results for 1999 General Election, Alderman, Ward 15, Chicago, IL"
"1087","Richard D. Taylor","Democratic Party","8 of 12","631","6.9%","Election Results for 1999 General Election, Alderman, Ward 15, Chicago, IL"
"1088","Clauzell Tyler","Other Parties","9 of 12","445","4.9%","Election Results for 1999 General Election, Alderman, Ward 15, Chicago, IL"
"1089","Bernetta Pearson","Democratic Party","10 of 12","404","4.4%","Election Results for 1999 General Election, Alderman, Ward 15, Chicago, IL"
"1090","Bernard C. Robinson, Sr.","Other Parties","11 of 12","200","2.2%","Election Results for 1999 General Election, Alderman, Ward 15, Chicago, IL"
"1091","Cleveland S. Webber","Other Parties","12 of 12","177","1.9%","Election Results for 1999 General Election, Alderman, Ward 15, Chicago, IL"
"1092","Shirley A. Coleman","Other Parties","1 of 6","2,755","40.6%","Election Results for 1999 General Election, Alderman, Ward 16, Chicago, IL"
"1093","Hal E. Baskin","Other Parties","2 of 6","1,759","25.9%","Election Results for 1999 General Election, Alderman, Ward 16, Chicago, IL"
"1094","Ollie R. Dixon","Other Parties","3 of 6","912","13.4%","Election Results for 1999 General Election, Alderman, Ward 16, Chicago, IL"
"1095","Randolph Anderson, Jr.","Democratic Party","4 of 6","749","11.0%","Election Results for 1999 General Election, Alderman, Ward 16, Chicago, IL"
"1096","Nicole Peden","Other Parties","5 of 6","400","5.9%","Election Results for 1999 General Election, Alderman, Ward 16, Chicago, IL"
"1097","Cheryl Blackmond","Other Parties","6 of 6","218","3.2%","Election Results for 1999 General Election, Alderman, Ward 16, Chicago, IL"
"1098","Terry Peterson","Other Parties","1 of 1","9,570","100.0%","Election Results for 1999 General Election, Alderman, Ward 17, Chicago, IL"
"1099","Thomas W. Murphy","Other Parties","1 of 9","9,506","57.4%","Election Results for 1999 General Election, Alderman, Ward 18, Chicago, IL"
"1100","Eldora Davis","Democratic Party","2 of 9","2,142","12.9%","Election Results for 1999 General Election, Alderman, Ward 18, Chicago, IL"
"1101","Eddie L. Mccann, Jr.","Other Parties","3 of 9","1,513","9.1%","Election Results for 1999 General Election, Alderman, Ward 18, Chicago, IL"
"1102","Pervis Spann","Republican Party","4 of 9","1,028","6.2%","Election Results for 1999 General Election, Alderman, Ward 18, Chicago, IL"
"1103","Joseph L. Simmons, Jr.","Other Parties","5 of 9","997","6.0%","Election Results for 1999 General Election, Alderman, Ward 18, Chicago, IL"
"1104","Betty J. Phillips","Other Parties","6 of 9","746","4.5%","Election Results for 1999 General Election, Alderman, Ward 18, Chicago, IL"
"1105","Sydney A. Washington","Other Parties","7 of 9","373","2.3%","Election Results for 1999 General Election, Alderman, Ward 18, Chicago, IL"
"1106","Inez Andrews","Other Parties","8 of 9","170","1.0%","Election Results for 1999 General Election, Alderman, Ward 18, Chicago, IL"
"1107","William Bill Ashby","Other Parties","9 of 9","76","0.5%","Election Results for 1999 General Election, Alderman, Ward 18, Chicago, IL"
"1108","Virginia A. Rugai","Other Parties","1 of 2","17,534","83.9%","Election Results for 1999 General Election, Alderman, Ward 19, Chicago, IL"
"1109","Raymond G. Wardingley","Other Parties","2 of 2","3,354","16.1%","Election Results for 1999 General Election, Alderman, Ward 19, Chicago, IL"
"1110","Madeline L. Haithcock","Other Parties","1 of 5","6,873","64.4%","Election Results for 1999 General Election, Alderman, Ward 2, Chicago, IL"
"1111","Geraldine Laury","Other Parties","2 of 5","1,954","18.3%","Election Results for 1999 General Election, Alderman, Ward 2, Chicago, IL"
"1112","Derrick David Stinson","Democratic Party","3 of 5","918","8.6%","Election Results for 1999 General Election, Alderman, Ward 2, Chicago, IL"
"1113","Mary Collins","Democratic Party","4 of 5","741","6.9%","Election Results for 1999 General Election, Alderman, Ward 2, Chicago, IL"
"1114","Melvin Powers","Other Parties","5 of 5","186","1.7%","Election Results for 1999 General Election, Alderman, Ward 2, Chicago, IL"
"1115","Arenda Troutman","Other Parties","1 of 3","5,157","55.9%","Election Results for 1999 General Election, Alderman, Ward 20, Chicago, IL"
"1116","Cecilia A. Butler","Other Parties","2 of 3","2,460","26.7%","Election Results for 1999 General Election, Alderman, Ward 20, Chicago, IL"
"1117","Julius L. Polk","Other Parties","3 of 3","1,602","17.4%","Election Results for 1999 General Election, Alderman, Ward 20, Chicago, IL"
"1118","Leonard Deville","Democratic Party","1 of 11","6,835","42.8%","Election Results for 1999 General Election, Alderman, Ward 21, Chicago, IL"
"1119","Denby R. Barrow","Other Parties","2 of 11","2,859","17.9%","Election Results for 1999 General Election, Alderman, Ward 21, Chicago, IL"
"1120","Howard B. Brookins, Jr.","Other Parties","3 of 11","2,128","13.3%","Election Results for 1999 General Election, Alderman, Ward 21, Chicago, IL"
"1121","William R. Eaker","Other Parties","4 of 11","1,038","6.5%","Election Results for 1999 General Election, Alderman, Ward 21, Chicago, IL"
"1122","Niles Sherman","Democratic Party","5 of 11","1,031","6.5%","Election Results for 1999 General Election, Alderman, Ward 21, Chicago, IL"
"1123","William Myton","Other Parties","6 of 11","628","3.9%","Election Results for 1999 General Election, Alderman, Ward 21, Chicago, IL"
"1124","Lloyd T. Walton","Other Parties","7 of 11","604","3.8%","Election Results for 1999 General Election, Alderman, Ward 21, Chicago, IL"
"1125","Earl Ware","Other Parties","8 of 11","287","1.8%","Election Results for 1999 General Election, Alderman, Ward 21, Chicago, IL"
"1126","Carl B. Boyd","Other Parties","9 of 11","226","1.4%","Election Results for 1999 General Election, Alderman, Ward 21, Chicago, IL"
"1127","James C. Dates","Democratic Party","10 of 11","208","1.3%","Election Results for 1999 General Election, Alderman, Ward 21, Chicago, IL"
"1128","Myles L. Reed","Democratic Party","11 of 11","121","0.8%","Election Results for 1999 General Election, Alderman, Ward 21, Chicago, IL"
"1129","Ricardo Munoz","Other Parties","1 of 5","4,189","66.1%","Election Results for 1999 General Election, Alderman, Ward 22, Chicago, IL"
"1130","Juan A. Ochoa","Other Parties","2 of 5","1,256","19.8%","Election Results for 1999 General Election, Alderman, Ward 22, Chicago, IL"
"1131","August Sallas","Democratic Party","3 of 5","660","10.4%","Election Results for 1999 General Election, Alderman, Ward 22, Chicago, IL"
"1132","Peter Garza","Other Parties","4 of 5","168","2.7%","Election Results for 1999 General Election, Alderman, Ward 22, Chicago, IL"
"1133","Ruben Salcedo","Other Parties","5 of 5","64","1.0%","Election Results for 1999 General Election, Alderman, Ward 22, Chicago, IL"
"1134","Michael R. Zalewski","Other Parties","1 of 1","16,962","100.0%","Election Results for 1999 General Election, Alderman, Ward 23, Chicago, IL"
"1135","Michael D. Chandler","Other Parties","1 of 2","7,108","77.5%","Election Results for 1999 General Election, Alderman, Ward 24, Chicago, IL"
"1136","Jesse L. Miller, Jr.","Other Parties","2 of 2","2,059","22.5%","Election Results for 1999 General Election, Alderman, Ward 24, Chicago, IL"
"1137","Daniel Solis","Other Parties","1 of 2","5,290","80.4%","Election Results for 1999 General Election, Alderman, Ward 25, Chicago, IL"
